@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute controlVar4 numeric
@attribute controlVar5 numeric
@attribute varObjetivo numeric

@data
-100,0,16.897787,27.758917,-3.795567,147.697891,145.902985
-100,0,15.193208,9.133608,-31.731035,159.71582,146.994598
-100,0,-45.334885,15.522262,-53.637129,116.967743,202.778687
-100,0,-64.995384,12.783165,12.195749,58.968895,106.587906
-100,0,-20.288343,7.57961,37.445891,0,40.55933
-100,0,14.941245,24.659672,40.202383,59.295311,85.484833
-100,0,14.882337,14.470768,8.80662,108.888145,68.881889
-100,0,20.509958,37.714083,-41.019926,137.807236,198.729324
-100,0,12.94696,30.323782,-22.757112,115.898705,120.593491
-100,0,-23.162611,28.91966,-20.077696,94.449844,99.304764
-100,0,-49.18602,34.715025,11.220733,50.148182,83.011276
-100,0,-25.805855,34.393274,48.417727,0,58.265774
-100,0,14.643703,45.265497,39.751738,47.378418,90.270164
-100,0,28.001982,42.485193,8.019192,84.296661,113.549911
-100,0,13.748636,51.996759,-27.497263,100.924202,154.291077
-100,0,12.19158,50.210016,-21.125042,85.949692,116.273285
-100,0,-27.335968,57.839552,-26.560079,72.363686,121.890747
-100,0,-39.868637,49.27976,10.60515,39.855976,70.455132
-100,0,-20.273561,45.542749,37.206572,0,49.949001
-100,0,1.933203,31.133051,20.50087,37.004841,36.489407
-100,0,23.576656,55.529505,8.28481,64.911736,101.521187
-100,0,10.358541,64.218653,-20.717056,76.306458,129.625351
-100,0,7.056816,53.477384,-10.690912,66.6632,80.782661
-100,0,-10.820865,36.596647,-1.555361,56.831627,38.235031
-100,0,-27.488794,50.924288,9.795499,31.893295,48.885735
-100,0,-14.367031,44.022535,25.328823,0,32.387402
-100,0,39.435143,22.99637,52.964987,75.825516,131.495178
-100,0,48.301682,22.378389,-5.247551,106.79911,142.140823
-100,0,8.702484,22.480825,-44.809911,116.950172,146.265778
-100,0,10.795042,7.907308,-37.353845,168.917679,177.351227
-100,0,-22.758125,4.577242,0.851821,119.078957,66.987129
